taxonomy	CPSNJ01_350	CPSNJ02_350	CPSNJ03_350	CPSNJ04_350	CPSNJ08_350	CPSNJ09_350	CPSNJ10_350	CPSNJ11_350	CPSNJ13_350	CPSNJ14_350	CPSNJ15_350	CPSNJ16_350	CPSNJ19_350	CPSNJ20_350	10_350	11_350	12_350	13_350	14_350	15_350	16_350	17_350	18_350	19_350	1_350	20_350	21_350	22_350	23_350	24_350	25_350	26_350	27_350	28_350	29_350	2_350	30_350	3_350	4_350	5_350	6_350	7_350	8_350	9_350	SNJ01_350	SNJ02_350	SNJ03_350	SNJ04_350	SNJ08_350	SNJ09_350	SNJ10_350	SNJ11_350	SNJ13_350	SNJ14_350	SNJ15_350	SNJ16_350	SNJ19_350	SNJ20_350
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__JACVRN01	0.01	0.03																																										0.01	0.03	0.03	0.01	0.01			0.01	0.01						
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__JAFDVJ01	0.06	0.2	0.04	0.13	0.02	0.02	0.04	0.05	0.01	0.01	0.05	0.03	0.03	0.03					0.01	0.01	0.01			0.01		0.02	0.03	0.01	0.06	0.05		0.03	0.07	0.08	0.03	0.01	0.01			0.02	0.02	0.01	0.01	0.05	0.08	0.23	0.07	0.12	0.07	0.12	0.11	0.09	0.02	0.02	0.04	0.09	0.05	0.15
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__JAIBCC01		0.02		0.02																																										0.01	0.01	0.01		0.01	0.01					0.01		0.01
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__JAIVGV01	0.04	0.12		0.02																									0.01	0.01										0.01	0.01			0.02	0.16	0.18	0.04	0.01										0.01
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__JAIVJG01	0.01	0.04		0.03																																								0.01	0.02	0.05		0.02										0.01
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__JAIVJM01	0.02	0.07		0.05																																								0.01	0.14	0.05	0.01	0.01										0.01
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__JAIVJZ01	0.01	0.03																																										0.01	0.08	0.02		0.01										
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__JAJQRF01		0.02		0.02							0.01																			0.0															0.01	0.03	0.01	0.01			0.01	0.01				0.01		
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__OLB17	0.7	0.72	0.67	0.62	0.41	0.69	0.76	1.03	0.29	0.53	0.77	0.49	0.69	0.65	0.11	0.18	0.13	0.12	0.55	0.24	0.23	0.06	0.24	0.18	0.31	0.55	0.51	0.4	0.84	0.35	0.17	0.2	0.68	0.59	0.3	0.41	0.38	0.19	0.22	0.32	0.41	0.32	0.24	0.49	0.65	2.44	0.93	0.68	0.73	0.71	0.86	1.24	0.65	0.64	0.52	0.8	1.17	1.25
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__PSRF01	2.11	1.93	1.45	1.62	1.33	1.18	0.67	1.42	1.0	0.68	1.11	0.8	1.84	1.34	0.78	0.62	0.63	0.43	0.24	1.01	1.04	0.37	0.26	1.7	0.48	0.55	0.94	1.38	1.49	1.56	0.71	0.66	0.61	1.05	1.32	1.89	1.19	0.94	1.15	2.54	1.76	1.44	0.59	2.25	3.89	2.19	2.11	2.09	1.44	2.34	2.26	1.86	0.71	0.78	1.38	1.21	1.7	2.06
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__QHXM01	0.05	0.38	0.01	0.07				0.01			0.01		0.01	0.02							0.01							0.05	0.01	0.02	0.0			0.02						0.03	0.02			0.11	0.16	0.71	0.03	0.09		0.01	0.02	0.01				0.01	0.01	0.02
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__QHXN01	0.33	1.22	0.05	0.41	0.0			0.01		0.01	0.07	0.01	0.07	0.06					0.01	0.01	0.01					0.01		0.04	0.02	0.13	0.01			0.16	0.01	0.03				0.04	0.04	0.01		0.12	1.11	1.32	0.19	0.34	0.04	0.01	0.13	0.12			0.03	0.37	0.08	0.32
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__QHXQ01																																													0.03													
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__SXVE01																																														0.01					0.01	0.01				0.01		0.01
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__UBA11740	0.07	0.36	0.07	0.21	0.12	0.45	0.18	0.15	0.34	0.04	0.4	0.01	0.27	0.19	0.13	0.13	0.12	0.1	0.08	0.13	0.13	0.11	0.11	0.35	0.03	0.1	0.29	0.3	0.17	0.13	0.05	0.1	0.06	0.16	0.12	0.41	0.12	0.17	0.21	0.34	0.96	0.18	0.18	0.51	0.19	0.86	0.11	0.28	0.11	0.46	0.2	0.18	0.07	0.04	0.83	0.11	0.22	0.2
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__RBC074; f__RBC074; g__CAIOZW01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01		0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01		0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01		0.01	0.01	0.01	0.01	0.01		0.02	0.01	0.01			0.01		0.01	0.01		0.01			0.01		0.01	0.01
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__RBC074; f__RBC074; g__JACPYM01		0.04	0.01	0.03	0.02	0.01	0.0	0.01	0.01		0.02	0.02				0.01	0.01	0.01	0.02	0.01	0.01			0.01	0.01	0.01	0.03	0.02	0.01	0.02	0.01	0.01	0.01	0.02		0.02	0.01	0.01	0.02	0.03	0.05	0.02	0.01	0.01		0.02	0.01	0.02	0.01		0.01	0.01			0.04	0.01	0.01	0.01
