accession	clan	clan_description	PSSM_Id	GMSC_count	GMSC_fraction	short_name	description	PSSM_Length	clan_id	short_description	group
19451	DMT	Drug/Metabolite transporter superfamily	437283	1269	0.0009356978691305972	DUF5989	Family of unknown function (DUF5989). This family of proteins is primarily found in bacteria. Proteins in this family are integral membrane proteins that are approximately 50 amino acids in length. There is a C-terminal conserved APFIY sequence motif. This family may have distant partial similarity to pfam02694 suggesting this may be a transporter protein.	49	CL0184	Family of unknown function (DUF5989)	Drug/Metabolite transporter superfamily
02416			426762	1230	0.000906941197029657	MttA_Hcf106	"mttA/Hcf106 family. Members of this protein family are involved in a sec independent translocation mechanism. This pathway has been called the DeltapH pathway in chloroplasts. Members of this family in E.coli are involved in export of redox proteins with a ""twin arginine"" leader motif."	53		mttA/Hcf106 family	mttA/Hcf106 family
00420			425672	1200	0.0008848206800289336	Oxidored_q2	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L. 	95		NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
00203			425521	1185	0.0008737604215285718	Ribosomal_S19	Ribosomal protein S19. 	80		Ribosomal protein S19	Ribosomal protein
09723	Zn_Beta_Ribbon	Zinc beta-ribbon	430775	1185	0.0008737604215285718	Zn-ribbon_8	Zinc ribbon domain. This entry represents a region of about 41 amino acids found in a number of small proteins in a wide range of bacteria. The region usually begins with the initiator Met and contains two CxxC motifs separated by 17 amino acids. One protein in this entry has been noted as a putative regulatory protein, designated FmdB. Most proteins in this entry have a C-terminal region containing highly degenerate sequence.	41	CL0167	Zinc ribbon domain	Zinc beta-ribbon
01165			426092	1180	0.0008700736686951181	Ribosomal_S21	Ribosomal protein S21. 	51		Ribosomal protein S21	Ribosomal protein
00381			425651	1152	0.0008494278528277763	PTS-HPr	PTS HPr component phosphorylation site. 	79		PTS HPr component phosphorylation site	PTS HPr component phosphorylation site
01722			426396	1132	0.0008346808414939607	BolA	BolA-like protein. This family consist of the morphoprotein BolA from E. coli and its various homologs. In E. coli over expression of this protein causes round morphology and may be involved in switching the cell between elongation and septation systems during cell division. The expression of BolA is growth rate regulated and is induced during the transition into the the stationary phase. BolA is also induced by stress during early stages of growth and may have a general role in stress response. It has also been suggested that BolA can induce the transcription of penicillin binding proteins 6 and 5.	75		BolA-like protein	BolA-like protein
13083	KH	K-Homology (KH) domain Superfamily	432961	1132	0.0008346808414939607	KH_4	KH domain. 	73	CL0007	KhpA/KhpB, KH domain	K-Homology (KH) domain Superfamily
00137			425480	1121	0.0008265699852603622	ATP-synt_C	ATP synthase subunit C. 	60		ATP synthase subunit C	ATP synthase subunit C
02604	Plasmid_toxin	Plasmid toxin	426868	1119	0.0008250952841269808	PhdYeFM_antitox	Antitoxin Phd_YefM, type II toxin-antitoxin system. Members of this family act as antitoxins in type II toxin-antitoxin systems. When bound to their toxin partners, they can bind DNA via the N-terminus and repress the expression of operons containing genes encoding the toxin and the antitoxin. This domain complexes with Txe toxins containing pfam06769, Fic/DOC toxins containing pfam02661 and YafO toxins containing pfam13957.	67	CL0136	Antitoxin Phd_YefM, type II toxin-antitoxin system	Plasmid toxin
12840	HTH	Helix-turn-helix clan	432824	1117	0.0008236205829935991	HTH_20	Helix-turn-helix domain. This domain represents a DNA-binding Helix-turn-helix domain found in transcriptional regulatory proteins.	61	CL0123	Helix-turn-helix domain	Helix-turn-helix clan
00253	Tbcl_zf	Treble clef zinc fingers	425559	1095	0.0008073988705264018	Ribosomal_S14	Ribosomal protein S14p/S29e. This family includes both ribosomal S14 from prokaryotes and S29 from eukaryotes.	54	CL0839	Ribosomal protein S14p/S29e	Ribosomal protein
07045	Dim_A_B_barrel	Dimeric alpha/beta barrel superfamily	429262	1090	0.0008037121176929481	DUF1330	Domain of unknown function (DUF1330). This family consists of several hypothetical bacterial proteins of around 90 residues in length. The function of this family is unknown.	94	CL0032	Domain of unknown function (DUF1330)	Dimeric alpha/beta barrel superfamily
00076	RRM	RRM-like clan	425453	1084	0.0007992880142928034	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain). The RRM motif is probably diagnostic of an RNA binding protein. RRMs are found in a variety of RNA binding proteins, including various hnRNP proteins, proteins implicated in regulation of alternative splicing, and protein components of snRNPs. The motif also appears in a few single stranded DNA binding proteins. The RRM structure consists of four strands and two helices arranged in an alpha/beta sandwich, with a third helix present during RNA binding in some cases The C-terminal beta strand (4th strand) and final helix are hard to align and have been omitted in the SEED alignment The LA proteins have an N terminal rrm which is included in the seed. There is a second region towards the C-terminus that has some features characteristic of a rrm but does not appear to have the important structural core of a rrm. The LA proteins are one of the main autoantigens in Systemic lupus erythematosus (SLE), an autoimmune disease.	70	CL0221	RNA recognition motif	RRM-like clan
00708	Acylphosphatase	Acylphosphatase/BLUF domain-like superfamily	425830	1084	0.0007992880142928034	Acylphosphatase	Acylphosphatase. 	85	CL0622	Acylphosphatase	Acylphosphatase/BLUF domain-like superfamily
01206	TusA-like	TusA-like superfamily	426125	1076	0.0007933892097592771	TusA	Sulfurtransferase TusA. This family includes the TusA sulfurtransferases.	64	CL0397	Sulfurtransferase TusA	TusA-like superfamily
00165	HTH	Helix-turn-helix clan	425497	1070	0.0007889651063591325	HTH_AraC	Bacterial regulatory helix-turn-helix proteins, AraC family. In the absence of arabinose, the N-terminal arm of AraC binds to the DNA binding domain (pfam00165) and helps to hold the two DNA binding domains in a relative orientation that favours DNA looping. In the presence of arabinose, the arms bind over the arabinose on the dimerization domain, thus freeing the DNA-binding domains. The freed DNA-binding domains are then able to assume a conformation suitable for binding to the adjacent DNA sites that are utilized when AraC activates transcription, and hence AraC ceases looping the DNA when arabinose is added.	42	CL0123	Bacterial regulatory helix-turn-helix proteins, AraC family	Helix-turn-helix clan
01799	Fer2	2Fe-2S iron-sulfur cluster binding domain	426442	1069	0.0007882277557924418	Fer2_2	[2Fe-2S] binding domain. 	73	CL0486	[2Fe-2S] binding domain	2Fe-2S iron-sulfur cluster binding domain
12833	HTH	Helix-turn-helix clan	432818	1067	0.0007867530546590601	HTH_18	Helix-turn-helix domain. 	81	CL0123	Helix-turn-helix domain	Helix-turn-helix clan
13370	4Fe-4S	4Fe-4S ferredoxins	433153	1035	0.0007631578365249553	Fer4_13	4Fe-4S single cluster domain of Ferredoxin I. Fer4_13 is a ferredoxin I from sulfate-reducing bacteria. Chemical sequence analysis suggests that this characteristic [4Fe-4S] cluster sulfur environment is widely distributed among ferredoxins.	58	CL0344	4Fe-4S single cluster domain of Ferredoxin I	4Fe-4S ferredoxins
17820	PDZ-like	PDZ domain-like peptide-binding superfamily	436067	986	0.0007270276587571071	PDZ_6	PDZ domain. This entry represents the PDZ domain from a wide variety of proteins.	54	CL0466	PDZ domain	PDZ domain-like peptide-binding superfamily
