accession	clan	clan_description	PSSM_Id	GMSC_count	GMSC_fraction	short_name	description	PSSM_Length	clan_id	short_description	group
14579	HHH	Helix-hairpin-helix superfamily	434050	1	7.37350566690778e-07	HHH_6	Helix-hairpin-helix motif. The HHH domain is a short DNA-binding domain.	88	CL0198	Helix-hairpin-helix motif	Helix-hairpin-helix superfamily
19730			437562	1	7.37350566690778e-07	DUF6221	Family of unknown function (DUF6221). This entry represents a member of a biosynthetic gene cluster (BGC). This BGC (BGC0001065) is described by MIBiG as an example of the following biosynthetic class, polyketide. It includes a member from the herboxidiene biosynthetic gene cluster from Streptomyces chromofuscus. This family appears to be predominantly found in Actinobacteria.	110		Family of unknown function (DUF6221)	Domain of unknown function
10734			431462	1	7.37350566690778e-07	DUF2523	Protein of unknown function (DUF2523). This is a family of phage related proteins whose function is uncharacterized.	80		Protein of unknown function (DUF2523)	Domain of unknown function
14189			433760	1	7.37350566690778e-07	DUF4312	Domain of unknown function (DUF4312). This family of proteins is functionally uncharacterized. This family of proteins is found in bacteria. Proteins in this family are typically between 99 and 118 amino acids in length.	84		Domain of unknown function (DUF4312)	Domain of unknown function
12225			432410	1	7.37350566690778e-07	MTHFR_C	Methylene-tetrahydrofolate reductase C terminal. This family is found in bacteria and archaea, and is approximately 100 amino acids in length. There is a conserved NGPCGG sequence motif. This family is the C terminal of methylene-tetrahydrofolate reductase. This protein reduces FAD using the reducing equivalents from reduced FAD, subsequently reduces tetrahydrofolate. The C terminal of MTHFR contains the FAD binding site and is the catalytic portion of the enzyme.	89		Methylene-tetrahydrofolate reductase C terminal	Methylene-tetrahydrofolate reductase C terminal
13596	PAS_Fold	PAS domain clan	404482	1	7.37350566690778e-07	PAS_10	PAS domain. 	106	CL0183	PAS domain	PAS domain clan
07055	NADP_Rossmann	FAD/NAD(P)-binding Rossmann fold Superfamily	429267	1	7.37350566690778e-07	Eno-Rase_FAD_bd	Enoyl reductase FAD binding domain. This family carries the region of the enzyme trans-2-enoyl-CoA reductase, at the very C-terminus, that binds to FAD. The activity was characterized in Euglena where an unusual fatty acid synthesis path-way in mitochondria performs a malonyl-CoA independent synthesis of fatty acids leading to accumulation of wax esters, which serve as the sink for electrons stemming from glycolytic ATP synthesis and pyruvate oxidation. The full enzyme catalyzes the reduction of enoyl-CoA to acyl-CoA. The conserved region is seen as the motif FGFxxxxxDY.	63	CL0063	Enoyl reductase FAD binding domain	FAD/NAD(P)-binding Rossmann fold Superfamily
12667	OB	OB fold	432708	1	7.37350566690778e-07	NigD_N	NigD-like N-terminal OB domain. This family of proteins is functionally uncharacterized. This family of proteins is found in Bacteroides species. Proteins in this family are typically between 234 and 260 amino acids in length. These proteins possess an N-terminal lipoprotein attachment site. The family includes NigD a protein found in the Nig operon that encodes a bacteriocin called nigrescin. It has been suggested that NigD may be the immunity protein for nigrescin (NigC) because it is directly downstream. This domain has an OB fold.	66	CL0021	NigD-like N-terminal OB domain	OB fold
19474			437306	1	7.37350566690778e-07	DUF6011	Family of unknown function (DUF6011). This entry represents a member of a biosynthetic gene cluster (BGC). This BGC (BGC0000413) is described by MIBiG as an example of the following biosynthetic class, NRP (non-ribosomal peptide). This family includes a protein encoded by the pyoverdin biosynthetic gene cluster from Pseudomonas protegens Pf-5.	37		Family of unknown function (DUF6011)	Domain of unknown function
20083			437915	1	7.37350566690778e-07	DUF6477	Family of unknown function (DUF6477). This family of proteins is functionally uncharacterized. This family of proteins is found in bacteria. Proteins in this family are typically between 96 and 116 amino acids in length.	97		Family of unknown function (DUF6477)	Domain of unknown function
08796			430222	1	7.37350566690778e-07	DUF1797	Protein of unknown function (DUF1797). This is a domain of unknown function. It forms a central anti-parallel beta sheet with flanking alpha helical regions.	67		Protein of unknown function (DUF1797)	Domain of unknown function
13005			432933	1	7.37350566690778e-07	zf-IS66	zinc-finger binding domain of transposase IS66. This is a zinc-finger region of the N-terminus of the insertion element IS66 transposase.	46		zinc-finger binding domain of transposase IS66	zinc-finger binding domain of transposase IS66
18692	Calycin	Calycin superfamily	408469	1	7.37350566690778e-07	DUF5640	Family of unknown function (DUF5640). This domain is found in proteins of unknown function. It has composed of eight antiparallel beta strands and carries a G-X-W motif in the N-terminal region. The conserved glycine-X-tryptophan (G-X-W) motif is characteristic for the lipocalin family.	83	CL0116	Family of unknown function (DUF5640)	Calycin superfamily
16199			435209	1	7.37350566690778e-07	Radical_SAM_C	Radical_SAM C-terminal domain. This domain is found as a C-terminal extension to a subset of Radical_SAM domains. It is found in archaeal, bacterial, fungal, plant and human proteins.	83		Radical_SAM C-terminal domain	Radical_SAM C-terminal domain
16456			435349	1	7.37350566690778e-07	YmgD	YmgD protein. This family of proteins is found in bacteria. Proteins in this family are approximately 110 amino acids in length.	82		YmgD protein	YmgD protein
06806	HTH	Helix-turn-helix clan	399649	1	7.37350566690778e-07	DUF1233	Putative excisionase (DUF1233). This family consists of several putative phage excisionase proteins of around 80 residues in length.	70	CL0123	Putative excisionase (DUF1233)	Helix-turn-helix clan
19551			437383	1	7.37350566690778e-07	DUF6074	Family of unknown function (DUF6074). This entry represents a member of a biosynthetic gene cluster (BGC). This BGC (BGC0001765) is described by MIBiG as an example of the following biosynthetic class, saccharide. This family includes a protein from the salecan biosynthetic gene cluster from Agrobacterium tumefaciens and appears to be predominantly found in Rhizobiales.	83		Family of unknown function (DUF6074)	Domain of unknown function
03799			427512	1	7.37350566690778e-07	FtsQ	Cell division protein FtsQ. FtsQ is one of several cell division proteins. FtsQ interacts with other Fts proteins, reviewed in. The precise function of FtsQ is unknown.	113		Cell division protein FtsQ/DivIB, C-terminal	Cell division protein FtsQ/DivIB
11183			402658	1	7.37350566690778e-07	PmrD	Polymyxin resistance protein PmrD. PmrB forms a two-component system (TCS) with PmrA that allows Gram-negative bacteria to survive the cationic antimicrobial peptide polymyxin G. The TCS is linked to another one via the polymyxin resistance protein PmrD. PmrD is the first protein identified to mediate the connectivity between the two TCSs. It binds to the N terminal domain of the PmrA response regulator which prevents its dephosphorylation, thereby promoting the the transcription of genes involved in polymyxin resistance.	81		Polymyxin resistance protein PmrD	Polymyxin resistance protein PmrD
06103			428770	1	7.37350566690778e-07	DUF948	Bacterial protein of unknown function (DUF948). This family consists of bacterial sequences several of which are thought to be general stress proteins.	83		Bacterial protein of unknown function (DUF948)	Domain of unknown function
08207	SH3	Src homology-3 domain	429864	1	7.37350566690778e-07	EFP_N	Elongation factor P (EF-P) KOW-like domain. 	58	CL0010	Elongation factor P (EF-P) KOW-like domain	Src homology-3 domain
13155	Toprim-like	Toprim domain	433000	1	7.37350566690778e-07	Toprim_2	Toprim-like. This is a family or Toprim-like proteins.	88	CL0413	Toprim-like	Toprim domain
10968			431565	1	7.37350566690778e-07	DUF2770	Protein of unknown function (DUF2770). Members in this family of proteins are annotated as yceO however currently no function is known.	36		Protein of unknown function (DUF2770)	Domain of unknown function
12408			432532	1	7.37350566690778e-07	DUF3666	Ribose-5-phosphate isomerase. This domain family is found in bacteria, and is approximately 50 amino acids in length. The family is found in association with pfam02502. There are two completely conserved residues (D and F) that may be functionally important.	47		Ribose-5-phosphate isomerase	Ribose-5-phosphate isomerase
11058			287970	1	7.37350566690778e-07	Ral	Antirestriction protein Ral. Ral alleviates restriction and enhances modification by the E.Coli restriction and modification system.	66		Antirestriction protein Ral	Antirestriction protein Ral
03943	UBA	UBA superfamily	427604	1	7.37350566690778e-07	TAP_C	TAP C-terminal domain. The vertebrate Tap protein is a member of the NXF family of shuttling transport receptors for nuclear export of mRNA. Tap has a modular structure, and its most C-terminal domain is important for binding to FG repeat-containing nuclear pore proteins (FG-nucleoporins) and is sufficient to mediate nuclear shuttling. The structure of the C-terminal domain is composed of four helices. The structure is related to the UBA domain.	48	CL0214	TAP C-terminal domain	UBA superfamily
14338	HTH	Helix-turn-helix clan	433880	1	7.37350566690778e-07	Mrr_N	Mrr N-terminal domain. This domain is found at the N-terminus of the Mrr restriction endonuclease catalytic domain, pfam04471. Fold recognition analysis predicts that it is a diverged member of the winged helix variant of helix turn helix proteins. It may play a role in DNA sequence recognition.	82	CL0123	Mrr N-terminal domain	Helix-turn-helix clan
09652			430735	1	7.37350566690778e-07	Cas_VVA1548	Putative CRISPR-associated protein (Cas_VVA1548). This entry represents a conserved region of about 95 amino acids found exclusively in species with CRISPRs (Clustered Regularly Interspaced Short Palindromic Repeats). In all bacterial species that contain this entry, the genes encoding the proteins are in the midst of a cluster of cas (CRISPR-associated) genes.	91		Putative CRISPR-associated protein (Cas_VVA1548)	Putative CRISPR-associated protein (Cas_VVA1548)
02140			396628	1	7.37350566690778e-07	Gal_Lectin	Galactose binding lectin domain. 	80		Galactose binding lectin domain	Galactose binding lectin domain
18505			436550	1	7.37350566690778e-07	DUF5619	Domain of unknown function (DUF5619). This is a domain of unknown function found in bacteria and archaea.	85		Domain of unknown function (DUF5619)	Domain of unknown function
02213	GYF	GYF domain	426664	1	7.37350566690778e-07	GYF	GYF domain. The GYF domain is named because of the presence of Gly-Tyr-Phe residues. The GYF domain is a proline-binding domain in CD2-binding protein.	45	CL0673	GYF domain	GYF domain
03873			427558	1	7.37350566690778e-07	RseA_C	Anti sigma-E protein RseA, C-terminal domain. Sigma-E is important for the induction of proteins involved in heat shock response. RseA binds sigma-E via its N-terminal domain, sequestering sigma-E and preventing transcription from heat-shock promoters. The C-terminal domain is located in the periplasm, and may interact with other protein that signal periplasmic stress.	53		Anti sigma-E protein RseA, C-terminal domain	Anti sigma-E protein RseA
03951			427610	1	7.37350566690778e-07	Gln-synt_N	Glutamine synthetase, beta-Grasp domain. 	82		Glutamine synthetase, beta-Grasp domain	Glutamine synthetase
13391	His-Me_finger	His-Me finger endonuclease superfamily	433168	1	7.37350566690778e-07	HNH_2	HNH endonuclease. 	66	CL0263	HNH endonuclease	His-Me finger endonuclease superfamily
13007			432935	1	7.37350566690778e-07	LZ_Tnp_IS66	Transposase C of IS166 homeodomain. This is a leucine-zipper-like or homeodomain-like region of transposase TnpC of insertion element IS66.	67		Transposase C of IS166 homeodomain	Transposase C of IS166 homeodomain
10861			431525	1	7.37350566690778e-07	DUF2784	Protein of Unknown function (DUF2784). This is a family of uncharacterized protein. The function is not known however it is conserved in Bacteria.	109		Protein of Unknown function (DUF2784)	Domain of unknown function
10709			431451	1	7.37350566690778e-07	DUF2511	Protein of unknown function (DUF2511). This family is conserved in bacteria. The function is not known.	87		Protein of unknown function (DUF2511)	Domain of unknown function
19960	Death	Death Domain Superfamily	437792	1	7.37350566690778e-07	EAD7	Effector-associated domain 7. Effector-associated domains (EADs) are predicted to function as adaptor domains mediating protein-protein interactions. The EADs show a characteristic architectural pattern. One copy is always fused, typically to the N- or C-terminus, of a core component of a biological conflict system; examples include VMAP, iSTAND, or GAP1. Further copies of the same EAD are fused to either effector or signal-transducing domains, or additional EADs. EAD pairs are frequently observed together on the genome in conserved gene neighborhoods, but can also be severed from such neighborhoods and located in distant regions, indicating EAD-EAD protein domain coupling attenuates collinear transcription requirements.	62	CL0041	Effector-associated domain 7	Death Domain Superfamily
02899	l-integrase_N	lambda integrase N-terminal domain	427047	1	7.37350566690778e-07	Phage_int_SAM_1	Phage integrase, N-terminal SAM-like domain. 	83	CL0469	Phage integrase, N-terminal SAM-like domain	lambda integrase N-terminal domain
18359	SH3	Src homology-3 domain	436435	1	7.37350566690778e-07	TUDOR_5	Histone methyltransferase Tudor domain 1. This is the first TUDOR domain found in SETDB1 enzymes (EC:2.1.1.43) in homosapiens, also known as Eggless in Drosophila. In Drosophila, SetdB1 (Egg) is important for oogenesis and the silencing of chromosome 4. SET domain, bifurcated 1 (SETDB1) is a histone methyltransferase (HMT) that methylates lysine 9 on histone H3 (H3K9). The enzymatic activity of SETDB1, in association with MBD1-containing chromatin-associated factor 1 (MCAF1), converts H3K9me2 to H3K9me3 and represses subsequent transcription. SETDB1 is amplified in cancers such as melanoma and lung cancer, and increased expression of SETDB1 promotes tumorigenesis in a zebrafish melanoma model. In addition, SETDB1 is required for endogenous retrovirus silencing during early embryogenesis, inhibition of adipocyte differentiation, and differentiation of mesenchymal cells into osteoblasts. The tandem Tudor domains in the N-terminal region are involved in protein-protein interactions. The second tudor domain is pfam18385.	53	CL0010	Histone methyltransferase Tudor domain 1	Src homology-3 domain
11020	Met_repress	MetJ/Arc repressor, antitoxin of TA systems superfamily	371344	1	7.37350566690778e-07	DUF2610	Domain of unknown function (DUF2610). This family is conserved in Proteobacteria. One member is annotated as being elongation factor P but this could not be confirmed. This domain is related to the Ribbon-helix-helix superfamily so may be a DNA-binding protein.	78	CL0057	Domain of unknown function (DUF2610)	MetJ/Arc repressor, antitoxin of TA systems superfamily
13362	Toprim-like	Toprim domain	433146	1	7.37350566690778e-07	Toprim_3	Toprim domain. The toprim domain is found in a wide variety of enzymes involved in nucleic acid manipulation.	97	CL0413	Toprim domain	Toprim domain
07386	APCOP-app_sub	Clathrin (AP) and COPI appendage platform  subdomain	429438	1	7.37350566690778e-07	DUF1499	Protein of unknown function (DUF1499). This family consists of several hypothetical bacterial and plant proteins of around 125 residues in length. The function of this family is unknown.	114	CL0545	Protein of unknown function (DUF1499)	Clathrin (AP) and COPI appendage platform  subdomain
13227			433044	1	7.37350566690778e-07	DUF4035	Protein of unknown function (DUF4035). This family of proteins is functionally uncharacterized. This family of proteins is found in bacteria and viruses. Proteins in this family are typically between 67 and 93 amino acids in length.	55	55
10831			431515	1	7.37350566690778e-07	DUF2556	Protein of unknown function (DUF2556). This family of proteins with unknown function appears to be restricted to Enterobacteriaceae.	53		Protein of unknown function (DUF2556)	Domain of unknown function
13999			404819	1	7.37350566690778e-07	MarB	MarB protein. The MarB protein is found in the multiple antibiotic resistance (mar) locus in Escherichia coli. The MarB protein is functionally uncharacterized. This family of proteins is found in bacteria. Proteins in this family are approximately 70 amino acids in length. There is a conserved GSDKSD sequence motif.	63		MarB protein	MarB protein
13978			433620	1	7.37350566690778e-07	DUF4223	Protein of unknown function (DUF4223). This family of proteins is functionally uncharacterized. This family of proteins is found in bacteria. Proteins in this family are approximately 60 amino acids in length. These proteins are likely to be lipoproteins (attachment site currently included in alignment).	54		Protein of unknown function (DUF4223)	Domain of unknown function
02553			426827	1	7.37350566690778e-07	CbiN	Cobalt transport protein component CbiN. CbiN is part of the active cobalt transport system involved in uptake of cobalt in to the cell involved with cobalamin biosynthesis (vitamin B12). It has been suggested that CbiN may function as the periplasmic binding protein component of the active cobalt transport system.	67		Cobalt transport protein component CbiN	Cobalt transport protein component CbiN
06853	YqiB	YqiB-like superfamily	429154	1	7.37350566690778e-07	DUF1249	Protein of unknown function (DUF1249). This family consists of several hypothetical bacterial proteins of around 150 residues in length. The function of this family is unknown.	116	CL0772	Protein of unknown function (DUF1249)	YqiB-like superfamily
12487			432589	1	7.37350566690778e-07	DUF3703	Protein of unknown function (DUF3703). This family of proteins is found in bacteria. Proteins in this family are typically between 113 and 135 amino acids in length.	109		Protein of unknown function (DUF3703)	Domain of unknown function
01850	PIN	PIN domain superfamily	426475	1	7.37350566690778e-07	PIN	PIN domain. 	121	CL0280	PIN domain	PIN domain superfamily
00630	E-set	Ig-like fold superfamily (E-set)	395505	1	7.37350566690778e-07	Filamin	Filamin/ABP280 repeat. 	89	CL0159	Filamin/ABP280 repeat	Ig-like fold superfamily (E-set)
11674			431995	1	7.37350566690778e-07	DUF3270	Protein of unknown function (DUF3270). This family of proteins with unknown function appears to be restricted to Streptococcus.	88		Protein of unknown function (DUF3270)	Domain of unknown function
09472			430631	1	7.37350566690778e-07	MtrF	Tetrahydromethanopterin S-methyltransferase, F subunit (MtrF). Many archaea have evolved energy-yielding pathways marked by one-carbon biochemistry featuring novel cofactors and enzymes. This domain is mostly found in MtrF, where it covers the entire length of the protein. This polypeptide is one of eight subunits of the N5-methyltetrahydromethanopterin: coenzyme M methyltransferase complex found in methanogenic archaea. This is a membrane-associated enzyme complex that uses methyl-transfer reactions to drive a sodium-ion pump. MtrF itself is involved in the transfer of the methyl group from N5-methyltetrahydromethanopterin to coenzyme M. Subsequently, methane is produced by two-electron reduction of the methyl moiety in methyl-coenzyme M by another enzyme, methyl-coenzyme M reductase. In some organisms this domain is found at the C terminal region of what appears to be a fusion of the MtrA and MtrF proteins. The function of these proteins is unknown, though it is likely that they are involved in C1 metabolism.	62		Tetrahydromethanopterin S-methyltransferase, F subunit (MtrF)	Tetrahydromethanopterin S-methyltransferase
02295	HTH	Helix-turn-helix clan	280459	1	7.37350566690778e-07	z-alpha	Adenosine deaminase z-alpha domain. This family consists of the N-terminus and thus the z-alpha domain of double-stranded RNA-specific adenosine deaminase (ADAR), an RNA- editing enzyme. The z-alpha domain is a Z-DNA binding domain, and binding of this region to B-DNA has been shown to be disfavoured by steric hindrance.	67	CL0123	Adenosine deaminase z-alpha domain	Helix-turn-helix clan
16925	TetR_C	TetR protein, C-terminal domain-like	435659	1	7.37350566690778e-07	TetR_C_13	Bacterial transcriptional repressor C-terminal. 	113	CL0174	Tetracyclin repressor-like, C-terminal domain	TetR protein, C-terminal domain-like
04455			427960	1	7.37350566690778e-07	Saccharop_dh_N	LOR/SDH bifunctional enzyme conserved region. Lysine-oxoglutarate reductase/Saccharopine dehydrogenase (LOR/SDH) is a bifunctional enzyme. This conserved region is commonly found immediately N-terminal to Saccharop_dh (pfam03435) in eukaryotes.	93		LOR/SDH bifunctional enzyme conserved region	LOR/SDH bifunctional enzyme conserved region
07873			429707	1	7.37350566690778e-07	YabP	YabP family. This family of proteins is involved in spore coat assembly during the process of sporulation.	64		YabP family	YabP family
03968	OstA	OstA superfamily	427621	1	7.37350566690778e-07	OstA	OstA-like protein. This family of proteins are mostly uncharacterized. However the family does include E. coli OstA that has been characterized as an organic solvent tolerance protein.	113	CL0259	LptA/(LptD N-terminal domain) LPS transport protein	OstA superfamily
07102			429293	1	7.37350566690778e-07	DUF1364	Protein of unknown function (DUF1364). This family consists of several bacterial and phage proteins of around 95 residues in length. The function of this family is unknown.	91		Putative nuclease YbcO	Putative nuclease YbcO
16714	S4	S4 domain superfamily	435535	1	7.37350566690778e-07	TyrRSs_C	Tyrosyl-tRNA synthetase C-terminal domain. This domain is found at the C-terminus of fungal tyrosyl-tRNA synthetases. It binds to group I introns.	120	CL0492	Tyrosyl-tRNA synthetase C-terminal domain	S4 domain superfamily
19288			437120	1	7.37350566690778e-07	CofH_C	CofH/MqnC C-terminal region. This entry represents the C-terminal half of the CofH and MqnC enzymes. This entry is found to the C-terminus of pfam04055.	125		CofH/MqnC C-terminal region	CofH/MqnC C-terminal region
00989	PAS_Fold	PAS domain clan	395786	1	7.37350566690778e-07	PAS	PAS fold. The PAS fold corresponds to the structural domain that has previously been defined as PAS and PAC motifs. The PAS fold appears in archaea, eubacteria and eukarya.	113	CL0183	PAS fold	PAS domain clan
01097	Knottin_1	Scorpion toxin-like knottin superfamily	395873	1	7.37350566690778e-07	Defensin_2	Arthropod defensin. 	34	CL0054	Arthropod defensin	Scorpion toxin-like knottin superfamily
13211	NTF2	NTF2-like superfamily	433040	1	7.37350566690778e-07	DUF4019	Protein of unknown function (DUF4019). This family of proteins is functionally uncharacterized. This family of proteins is found in bacteria. Proteins in this family are typically between 130 and 183 amino acids in length. There is a single completely conserved residue E that may be functionally important.	104	CL0051	Protein of unknown function (DUF4019)	NTF2-like superfamily
08653			430133	1	7.37350566690778e-07	DASH_Dam1	DASH complex subunit Dam1. The DASH complex is a ~10 subunit microtubule-binding complex that is transferred to the kinetochore prior to mitosis. In Saccharomyces cerevisiae DASH forms both rings and spiral structures on microtubules in vitro. Components of the DASH complex, including Dam1, Duo1, Spc34, Dad1 and Ask1, are essential and connect the centromere to the plus end of spindle microtubules.	56		DASH complex subunit Dam1	DASH complex subunit Dam1
14490	HHH	Helix-hairpin-helix superfamily	433987	1	7.37350566690778e-07	HHH_4	Helix-hairpin-helix containing domain. This presumed domain contains at least one helix-hairpin-helix motif. This domain is often found in RecD helicases.	91	CL0198	ATP-dependent RecD2 DNA helicase HHH domain	Helix-hairpin-helix superfamily
13993			433632	1	7.37350566690778e-07	YccJ	YccJ-like protein. The YccJ-like family of proteins includes the E. coli YccJ protein, which is functionally uncharacterized. This family of proteins is found in bacteria. Proteins in this family are approximately 80 amino acids in length.	67		YccJ-like protein	YccJ-like protein
06196			428817	1	7.37350566690778e-07	DUF997	Protein of unknown function (DUF997). Family of predicted bacterial membrane protein with unknown function.	77		Protein of unknown function (DUF997)	Domain of unknown function
00531	Death	Death Domain Superfamily	425735	1	7.37350566690778e-07	Death	Death domain. 	83	CL0041	Death domain	Death Domain Superfamily
10689			431437	1	7.37350566690778e-07	DUF2496	Protein of unknown function (DUF2496). This family consists of proteins from Gammaproteobacteria spp. Many members are annotated as being like the E coli protein YbaM.	43		Protein of unknown function (DUF2496)	Domain of unknown function
16794	E-set	Ig-like fold superfamily (E-set)	435585	1	7.37350566690778e-07	fn3_4	Fibronectin-III type domain. 	101	CL0159	Fibronectin-III type domain	Ig-like fold superfamily (E-set)
08230			429875	1	7.37350566690778e-07	CW_7	CW_7 repeat. This domain was originally found in the C-terminal moiety of the Cpl-7 lysozyme encoded by the Streptococcus pneumoniae bacteriophage Cp-7. It is also found in the cell wall hydrolases of human and life-stock pathogens. CW_7 repeats make up a cell wall binding motif.	40		CW_7 repeat	CW_7 repeat
18953	HeH	LEM/SAP HeH motif	436860	1	7.37350566690778e-07	SAP_new25	SAP domain-containing new25. This family includes Schizosaccharomyces specific SAP domain containing proteins such as gene product new25. SAP ( SAF-A/B, Acinus and PIAS) motif is a DNA/RNA binding domain found in diverse nuclear and cytoplasmic proteins. For instance, the SAP domain of SUMO E3 ligase PIAS1 from human is shown to bind an A/T-rich DNA.	51	CL0306	SAP domain-containing new25	LEM/SAP HeH motif
04021			397916	1	7.37350566690778e-07	Class_IIIsignal	Class III signal peptide. This family of archaeal proteins contains. an amino terminal motif QXSXEXXXL that has been suggested to be part of a class III signal sequence. With the Q being the +1 residue of the signal peptidase cleavage site. Two members of this family are cleaved by a type IV pilin-like signal peptidase.	27		Class III signal peptide	Class III signal peptide
19760			437592	1	7.37350566690778e-07	DUF6247	Family of unknown function (DUF6247). This entry represents a member of a biosynthetic gene cluster (BGC). This BGC (BGC0000345) is described by MIBiG as an example of the following biosynthetic classes, NRP (non-ribosomal peptide) and polyketide. It includes a member from the eponemycin biosynthetic gene cluster from Streptomyces hygroscopicus. This family appears to be predominantly found in Actinobacteria.	99		Family of unknown function (DUF6247)	Domain of unknown function
14360	pap2	Acid phosphatase/Vanadium-dependent haloperoxidase	433902	1	7.37350566690778e-07	PAP2_C	PAP2 superfamily C-terminal. This family is closely related to the C-terminal a region of PAP2.	74	CL0525	PAP2 superfamily C-terminal	Acid phosphatase/Vanadium-dependent haloperoxidase
12964	HTH	Helix-turn-helix clan	432903	1	7.37350566690778e-07	DUF3853	Protein of unknown function (DUF3853). A family of uncharacterized proteins found by clustering human gut metagenomic sequences.	97	CL0123	Protein of unknown function (DUF3853)	Helix-turn-helix clan
13188	PAS_Fold	PAS domain clan	433022	1	7.37350566690778e-07	PAS_8	PAS domain. 	65	CL0183	PAS domain	PAS domain clan
07332			429414	1	7.37350566690778e-07	Phage_holin_3_6	Putative Actinobacterial Holin-X, holin superfamily III. Phage_holin_3_6 is a family of small hydrophobic proteins with two or three transmembrane domains of the Hol-X family. Holin proteins are produced by double-stranded DNA bacteriophages that use an endolysin-holin strategy to achieve lysis of their hosts. The endolysins are peptidoglycan-degrading enzymes that are usually accumulated in the cytosol until access to the cell wall substrate is provided by the holin membrane lesion.	113		Putative Actinobacterial Holin-X, holin superfamily III	Putative Actinobacterial Holin-X
03174	E-set	Ig-like fold superfamily (E-set)	427180	1	7.37350566690778e-07	CHB_HEX_C	Chitobiase/beta-hexosaminidase C-terminal domain. This short domain represents the C terminal domain in chitobiases and beta-hexosaminidases EC:3.2.1.52. It is composed of a beta sandwich structure. The function of this domain is unknown.	75	CL0159	Chitobiase/beta-hexosaminidase C-terminal domain	Ig-like fold superfamily (E-set)
14232			433794	1	7.37350566690778e-07	DUF4334	Domain of unknown function (DUF4334). This domain family is found in bacteria and eukaryotes, and is approximately 60 amino acids in length. This domain is frequently found at the C-terminus of pfam14231.	58		Domain of unknown function (DUF4334)	Domain of unknown function
00683			425818	1	7.37350566690778e-07	TB	TB domain. This domain is also known as the 8 cysteine domain. This family includes the hybrid domains. This cysteine rich repeat is found in TGF binding protein and fibrillin.	44		TB domain	TB domain
07977	HotDog	HotDog superfamily	429766	1	7.37350566690778e-07	FabA	FabA-like domain. This enzyme domain has a HotDog fold.	132	CL0050	FabA-like domain	HotDog superfamily
17969			436181	1	7.37350566690778e-07	Ldt_C	L,D-transpeptidase C-terminal domain. This is the C-terminal domain found in d-transpeptidases (Ldt) homologues from E.coli. Three of these enzymes (YbiS, ErfK, YcfS) have been shown to cross-link Braun's lipoprotein to the peptidoglycan (PG), while the other two (YnhG, YcbB) form direct meso-diaminopimelate (DAP-DAP, or 3-3) cross-links within the PG. Family members include erfK (ldtA), ybiS (ldtB), ycfS (ldtC), and ynhG (ldtE).	67		L,D-transpeptidase C-terminal domain	L
07647	SAM	Sterile Alpha Motif (SAM) domain	429573	1	7.37350566690778e-07	SAM_2	SAM domain (Sterile alpha motif). 	66	CL0003	SAM domain (Sterile alpha motif)	Sterile Alpha Motif (SAM) domain
07494	Beta_propeller	Beta propeller clan	400050	1	7.37350566690778e-07	Reg_prop	Two component regulator propeller. A large group of two component regulator proteins appear to have the same N-terminal structure of 14 tandem repeats. These repeats show homology to pfam01011 and pfam00400 indicating that they are likely to form a beta-propeller. This family has been built with artificially high cut-offs in order to avoid overlaps with other beta-propeller families. The fourteen repeats are likely to form two propellers; it is not clear if these structures are likely to recruit other proteins or interact with DNA.	24	CL0186	Two component regulator propeller	Beta propeller clan
04126	Cyclophil-like	Cyclophilin-like superfamily	309308	1	7.37350566690778e-07	Cyclophil_like	Cyclophilin-like. This domain has a cyclophilin-like fold, consisting of an eight-stranded beta-barrel with an alpha helix located between the beta-2 and beta-3 strands and a 310 helix located between the beta-7 and beta-8 strands. The catalytic site found in human cyclophilin is not conserved in this domain, suggesting a different function for this domain.	119	CL0475	Cyclophilin-like	Cyclophilin-like superfamily
16864			435613	1	7.37350566690778e-07	dimerization2	dimerization domain. This domain, found in methyltransferases, functions as a dimerization domain.	87	87
19897			437729	1	7.37350566690778e-07	DUF6370	Family of unknown function (DUF6370). This family of proteins is found in bacteria and it is functionally uncharacterized. Proteins in this family are approximately 110 amino acids in length. Some of the members included in this family are thought to be glutaminyl-tRNA synthetases. There are some conserved sequence motifs: CGxC, YFVD/EG and GDAH.	75		Family of unknown function (DUF6370)	Domain of unknown function
16385			406720	1	7.37350566690778e-07	DUF4994	Domain of unknown function. This family around 100 residues locates in the C-terminal of some uncharacterized proteins in various Bacteroides and Prevotella species. The function of this family remains unknown.	98	98
06064			399215	1	7.37350566690778e-07	Gam	Host-nuclease inhibitor protein Gam. The Gam protein inhibits RecBCD nuclease and is found in both bacteria and bacteriophage.	98		Host-nuclease inhibitor protein Gam	Host-nuclease inhibitor protein Gam
14833	6PGD_C	6-phosphogluconate dehydrogenase C-terminal-like superfamily	434252	1	7.37350566690778e-07	NAD_binding_11	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase. 3-Hydroxyisobutyrate is a central metabolite in the valine catabolic pathway, and is reversibly oxidized to methylmalonate semi-aldehyde by a specific dehydrogenase belonging to the 3-hydroxyacid dehydrogenase family. The reaction is NADP-dependent and this region of the enzyme binds NAD. The NAD-binding domain of 6-phosphogluconate dehydrogenase adopts an alpha helical structure.	122	CL0106	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase	6-phosphogluconate dehydrogenase C-terminal-like superfamily
