"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"g__JALHMQ01"	"City"	"ShangHai"	"CityShangHai"	1.07222815963542	0.00758344118238435	0.233766210027464	4.15848679851116e-05	0.00818454799800178	4.15848679851116e-05	0.00495156963794151	NA	"abundance"	58	58
"g__2.12.FULL.68.20"	"City"	"ShangHai"	"CityShangHai"	0.97848873704048	0.00758344118238435	0.211905400284131	4.23708122164745e-05	0.00825904908896511	8.47398291472211e-05	0.00867393917823617	NA	"abundance"	58	54
"g__JACMJD01"	"City"	"ShangHai"	"CityShangHai"	-0.930310570704644	0.00758344118238435	0.206573643613248	4.42362015546927e-05	0.00854053598015933	4.42362015546927e-05	0.00521406298931019	NA	"abundance"	58	58
"g__CADCTB01"	"City"	"ShangHai"	"CityShangHai"	-1.48565733924914	0.00758344118238435	0.326179083828286	4.5923329456965e-05	0.00878262013916598	9.18445499617415e-05	0.00909684530832636	NA	"abundance"	58	51
"g__F1.20.MAGs160"	"City"	"ShangHai"	"CityShangHai"	-0.934679215904558	0.00758344118238435	0.208301159193728	4.67466055587007e-05	0.00885651577463533	4.67466055587007e-05	0.00540085287390573	NA	"abundance"	58	58
"g__JAJVIP01"	"City"	"ShangHai"	"CityShangHai"	-0.921227325050881	0.00758344118238435	0.204785699325731	4.80536206852733e-05	0.00901984257899871	4.80536206852733e-05	0.00549742842918092	NA	"abundance"	58	56
"g__DP.1"	"City"	"ShangHai"	"CityShangHai"	1.36818557651408	0.00758344118238435	0.304561221653234	5.17306298510878e-05	0.0096209479664335	5.17306298510878e-05	0.00586062834691595	NA	"abundance"	58	58
"g__JACRBR01"	"City"	"ShangHai"	"CityShangHai"	1.44193174640511	0.00758344118238435	0.30848224915988	5.2537885139925e-05	0.00968225461415054	0.000105073010050475	0.0100499750350737	NA	"abundance"	58	44
"g__SZUA.544"	"City"	"ShangHai"	"CityShangHai"	3.43863828254611	0	0.854127780947359	5.6756324979364e-05	0.0103654434232583	0.000113509428678303	0.010512234311485	NA	"prevalence"	58	29
"g__Pseudoduganella"	"City"	"ShangHai"	"CityShangHai"	-4.15964612153495	0	1.03710340830171	6.05055034050675e-05	0.0109514961163172	0.000121007345894193	0.0109460055754987	NA	"prevalence"	58	29
"g__CAIMNF01"	"City"	"ShangHai"	"CityShangHai"	1	0.00758344118238435	7.2280074374338e-16	6.36525421410239e-05	0.0114191534007331	0.000127301032635927	0.0114267365371433	NA	"abundance"	58	11
"g__Polyangium"	"City"	"ShangHai"	"CityShangHai"	-0.813098481349535	0.00758344118238435	0.185053736801037	6.49668543870607e-05	0.0114522441055174	6.49668543870607e-05	0.0070194279985427	NA	"abundance"	58	58
"g__Promineofilum"	"City"	"ShangHai"	"CityShangHai"	3.17497087922093	0	0.794874214459677	6.4884010287811e-05	0.0114522441055174	0.000129763810640831	0.011558884781434	NA	"prevalence"	58	34
"g__Rhizobacter"	"City"	"ShangHai"	"CityShangHai"	-1.40851086786733	0.00758344118238435	0.32149036634234	6.86992811835818e-05	0.0120057916220135	6.86992811835818e-05	0.00735460469845152	NA	"abundance"	58	54
"g__Aeromicrobium"	"City"	"ShangHai"	"CityShangHai"	-1.62970968202905	0.00758344118238435	0.369565781956294	6.93298576776025e-05	0.0120124348276954	0.000138654908726039	0.0120763706625306	NA	"abundance"	58	52
"g__WYBA01"	"City"	"ShangHai"	"CityShangHai"	-0.63844455543835	0.00758344118238435	0.145528994062573	7.26815605887055e-05	0.0124864457309681	7.26815605887055e-05	0.00771019209554185	NA	"abundance"	58	58
"g__Bradyrhizobium"	"City"	"ShangHai"	"CityShangHai"	-1.01334904905886	0.00758344118238435	0.233324999010828	7.3550286829871e-05	0.0125295076858415	7.3550286829871e-05	0.00773205672988977	NA	"abundance"	58	58
"g__CF.162"	"City"	"ShangHai"	"CityShangHai"	3.4642796451158	0	0.874980049211289	7.51801467307434e-05	0.0127004327877136	0.000150354641407024	0.0129006493424895	NA	"prevalence"	58	28
"g__GCA.2687015"	"City"	"ShangHai"	"CityShangHai"	1.67440431466025	0.00758344118238435	0.382163363440383	7.96122894376472e-05	0.0133380192684296	7.96122894376472e-05	0.00829460540578487	NA	"abundance"	58	54
