sample	mean	tmean10	median
SRR25158537	0.9713234715756914	0.9713234715756914	0.9713234715756914
SRR25158387	0.971399820881505	0.971399820881505	0.971399820881505
SRR25158229	0.9712883309446876	0.9712883309446876	0.9712883309446876
SRR25158243	0.971369978062264	0.971369978062264	0.971369978062264
SRR25158521	0.97137153848797	0.97137153848797	0.97137153848797
SRR25158267	0.9712508774779858	0.9712508774779858	0.9712508774779858
SRR25158301	0.9712674628326662	0.9712674628326662	0.9712674628326662
SRR25158176	0.9713649226513998	0.9713649226513998	0.9713649226513998
SRR25158302	0.971372242405287	0.971372242405287	0.971372242405287
SRR25158310	0.9712861982038671	0.9712861982038671	0.9712861982038671
SRR25158186	0.9713549910826749	0.9713549910826749	0.9713549910826749
SRR25158211	0.9713629561443445	0.9713629561443445	0.9713629561443445
SRR25158183	0.9713573926770113	0.9713573926770113	0.9713573926770113
SRR25158283	0.9713816487219317	0.9713816487219317	0.9713816487219317
SRR25158445	0.971400163476262	0.971400163476262	0.971400163476262
SRR25158296	0.9713524544204728	0.9713524544204728	0.9713524544204728
SRR25158381	0.9713983179696598	0.9713983179696598	0.9713983179696598
SRR25158382	0.9713830126598589	0.9713830126598589	0.9713830126598589
SRR25158312	0.9712196295654238	0.9712196295654238	0.9712196295654238
SRR25158202	0.9713712281874856	0.9713712281874856	0.9713712281874856
SRR25158277	0.9713611410066626	0.9713611410066626	0.9713611410066626
SRR25158220	0.9713695909774809	0.9713695909774809	0.9713695909774809
SRR25158436	0.9713719430048879	0.9713719430048879	0.9713719430048879
SRR25158235	0.9713456310630478	0.9713456310630478	0.9713456310630478
SRR25158426	0.9713746687059683	0.9713746687059683	0.9713746687059683
SRR25158360	0.97137261379319	0.97137261379319	0.97137261379319
SRR25158421	0.9713620411246222	0.9713620411246222	0.9713620411246222
SRR25158292	0.9713130470255491	0.9713130470255491	0.9713130470255491
SRR25158491	0.971358557232733	0.971358557232733	0.971358557232733
SRR25158201	0.9713759077355038	0.9713759077355038	0.9713759077355038
SRR25158309	0.9712726811847113	0.9712726811847113	0.9712726811847113
SRR25158266	0.9712593157790167	0.9712593157790167	0.9712593157790167
SRR25158298	0.9711442122403784	0.9711442122403784	0.9711442122403784
SRR25158493	0.971348777911622	0.971348777911622	0.971348777911622
SRR25158525	0.9713754792864747	0.9713754792864747	0.9713754792864747
SRR25158454	0.9713683820169233	0.9713683820169233	0.9713683820169233
SRR25158282	0.9713803076066613	0.9713803076066613	0.9713803076066613
SRR25158357	0.9711047195896556	0.9711047195896556	0.9711047195896556
SRR25158516	0.9713772348295925	0.9713772348295925	0.9713772348295925
SRR25158300	0.9713532830764472	0.9713532830764472	0.9713532830764472
SRR25158278	0.971332230911216	0.971332230911216	0.971332230911216
SRR25158206	0.9713684003310084	0.9713684003310084	0.9713684003310084
SRR25158257	0.9712836572658271	0.9712836572658271	0.9712836572658271
SRR25158189	0.9713752874720127	0.9713752874720127	0.9713752874720127
SRR25158368	0.971380866103839	0.971380866103839	0.971380866103839
SRR25158196	0.9713706886700335	0.9713706886700335	0.9713706886700335
SRR25158495	0.9713785113834259	0.9713785113834259	0.9713785113834259
SRR25158178	0.9713725522012402	0.9713725522012402	0.9713725522012402
SRR25158458	0.9713940393659974	0.9713940393659974	0.9713940393659974
SRR25158514	0.9713390764736274	0.9713390764736274	0.9713390764736274
SRR25158394	0.9713775907714505	0.9713775907714505	0.9713775907714505
SRR25158432	0.971337975037285	0.971337975037285	0.971337975037285
SRR25158313	0.9713478595916456	0.9713478595916456	0.9713478595916456
SRR25158289	0.9713357613786118	0.9713357613786118	0.9713357613786118
