sample,Shannon_index
SRR25158508,7.46532992703022
SRR25158209,7.818451909527048
SRR25158446,7.813326612008166
SRR25158518,7.85784645816685
SRR25158292,6.741335806828016
SRR25158322,7.433339121306429
SRR25158291,7.220022225439292
SRR25158402,6.676072547346405
SRR25158274,7.810587468161021
SRR25158233,7.79102478074435
SRR25158261,7.579141884154708
SRR25158442,7.9316130395211735
SRR25158534,7.500716359744249
SRR25158215,7.646019743216951
SRR25158496,7.713590901399041
SRR25158268,7.80376494274269
SRR25158212,7.926766560214698
SRR25158537,7.0843589807678455
SRR25158514,7.395544652699744
SRR25158394,7.38481895076604
SRR25158226,7.915371968701797
SRR25158417,7.335241447351019
SRR25158408,7.408911877797489
SRR25158510,7.439481733786806
SRR25158247,7.979169763383189
SRR25158260,7.287523204082889
SRR25158477,7.594406814709699
